"","C5_r","C5_decay","C5_0","C5_in","C5_inputtime","C5_RMSE","C4_index","C5_index","C4_r","C4_decay","C4_0","C4_in","C4_inputtime","C4_RMSE","C3_index","C3_r","C3_decay","C3_0","C3_in","C3_inputtime","C3_RMSE","C2_index","C2_r","C2_decay","C2_0","C2_in","C2_inputtime","C2_RMSE","C1_index","C1_r","C1_decay","C1_0","C1_in","C1_inputtime","C1_RMSE","sumRMSE","index","time","C1","C2","C3","C4","C5"
"32",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,620,26.5296198852046,31.1704657219711,17.6629947424062,17.2176171140007,16.0152650109273
"33",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,640,26.0097029353451,31.0541689978004,17.6189553799448,17.2765144240319,16.0844444288222
"34",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,660,25.4999751112974,30.9383061756501,17.574882535947,17.334667101527,16.1538288048699
"35",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,680,25.0002367306223,30.8228756366356,17.5307781248878,17.3920792184651,16.2234133643495
"36",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,700,24.5102920241774,30.7078757679126,17.486644037908,17.4487548401893,16.2931933660332
"37",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,720,24.0299490594264,30.5933049626541,17.4424821430477,17.5046980252357,16.3631641020798
"38",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,740,23.5590196652505,30.4791616200282,17.3982942854779,17.5599128251649,16.4333208979267
"39",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,760,23.0973193582338,30.3654441451756,17.3540822877293,17.6144032843963,16.503659112182
"40",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,780,22.6446672703929,30.2521509491878,17.3098479499196,17.6681734400465,16.5741741365154
"41",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,800,22.2008860783234,30.1392804490839,17.2655930499783,17.7212273217696,16.6448613955481
